strategy_id,signal_family,scenario,parameters
corridor_exit_down_L20_r200_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 200.0}"
corridor_exit_down_L20_r200_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 200.0}"
corridor_exit_down_L20_r400_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 400.0}"
corridor_exit_down_L20_r400_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 400.0}"
corridor_exit_down_L20_r400_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 400.0}"
corridor_exit_down_L20_r50_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 50.0}"
corridor_exit_down_L20_r50_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 50.0}"
corridor_exit_down_L20_r50_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 50.0}"
corridor_exit_down_L5_r100_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 100.0}"
corridor_exit_down_L5_r100_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 100.0}"
corridor_exit_down_L5_r100_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 100.0}"
corridor_exit_down_L5_r200_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 200.0}"
corridor_exit_down_L5_r200_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 200.0}"
corridor_exit_down_L5_r200_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 200.0}"
corridor_exit_down_L5_r400_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}"
corridor_exit_down_L5_r400_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}"
corridor_exit_down_L5_r400_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}"
corridor_exit_down_L5_r50_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 50.0}"
corridor_exit_down_L5_r50_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 50.0}"
corridor_exit_down_L5_r50_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 50.0}"
corridor_exit_up_L10_r100_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 100.0}"
corridor_exit_up_L10_r100_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 100.0}"
corridor_exit_up_L10_r100_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 100.0}"
corridor_exit_up_L10_r200_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 200.0}"
corridor_exit_up_L10_r200_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 200.0}"
corridor_exit_up_L10_r200_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 200.0}"
corridor_exit_up_L10_r400_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 400.0}"
corridor_exit_up_L10_r400_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 400.0}"
corridor_exit_up_L10_r400_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 400.0}"
corridor_exit_up_L10_r50_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 50.0}"
corridor_exit_up_L10_r50_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 50.0}"
corridor_exit_up_L10_r50_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 10, ""max_range_bps"": 50.0}"
corridor_exit_up_L20_r100_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 100.0}"
corridor_exit_up_L20_r100_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 100.0}"
corridor_exit_up_L20_r100_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 100.0}"
corridor_exit_up_L20_r200_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 200.0}"
corridor_exit_up_L20_r200_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 200.0}"
corridor_exit_up_L20_r200_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 200.0}"
corridor_exit_up_L20_r400_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 400.0}"
corridor_exit_up_L20_r400_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 400.0}"
corridor_exit_up_L20_r400_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 400.0}"
corridor_exit_up_L20_r50_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 50.0}"
corridor_exit_up_L20_r50_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 50.0}"
corridor_exit_up_L20_r50_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 20, ""max_range_bps"": 50.0}"
corridor_exit_up_L5_r100_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 100.0}"
corridor_exit_up_L5_r100_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 100.0}"
corridor_exit_up_L5_r100_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 100.0}"
corridor_exit_up_L5_r200_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 200.0}"
corridor_exit_up_L5_r200_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 200.0}"
corridor_exit_up_L5_r200_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 200.0}"
corridor_exit_up_L5_r400_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 400.0}"
corridor_exit_up_L5_r400_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 400.0}"
corridor_exit_up_L5_r400_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 400.0}"
corridor_exit_up_L5_r50_b0bp,corridor_exit_up,window_closing,"{""breakout_bps"": 0.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 50.0}"
corridor_exit_up_L5_r50_b25bp,corridor_exit_up,window_closing,"{""breakout_bps"": 25.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 50.0}"
corridor_exit_up_L5_r50_b50bp,corridor_exit_up,window_closing,"{""breakout_bps"": 50.0, ""direction"": ""up"", ""lookback"": 5, ""max_range_bps"": 50.0}"
level_L120_p70,level,favourable_now,"{""higher_share"": 0.7, ""lookback"": 120}"
level_L120_p80,level,favourable_now,"{""higher_share"": 0.8, ""lookback"": 120}"
level_L120_p90,level,favourable_now,"{""higher_share"": 0.9, ""lookback"": 120}"
level_L120_p95,level,favourable_now,"{""higher_share"": 0.95, ""lookback"": 120}"
level_L20_p70,level,favourable_now,"{""higher_share"": 0.7, ""lookback"": 20}"
level_L20_p80,level,favourable_now,"{""higher_share"": 0.8, ""lookback"": 20}"
level_L20_p90,level,favourable_now,"{""higher_share"": 0.9, ""lookback"": 20}"
level_L20_p95,level,favourable_now,"{""higher_share"": 0.95, ""lookback"": 20}"
level_L250_p70,level,favourable_now,"{""higher_share"": 0.7, ""lookback"": 250}"
level_L250_p80,level,favourable_now,"{""higher_share"": 0.8, ""lookback"": 250}"
level_L250_p90,level,favourable_now,"{""higher_share"": 0.9, ""lookback"": 250}"
level_L250_p95,level,favourable_now,"{""higher_share"": 0.95, ""lookback"": 250}"
level_L60_p70,level,favourable_now,"{""higher_share"": 0.7, ""lookback"": 60}"
level_L60_p80,level,favourable_now,"{""higher_share"": 0.8, ""lookback"": 60}"
level_L60_p90,level,favourable_now,"{""higher_share"": 0.9, ""lookback"": 60}"
level_L60_p95,level,favourable_now,"{""higher_share"": 0.95, ""lookback"": 60}"
